;SIGLA_UF_PV;NOME_MUNICIPIO_PV;NOTA_LINGUAGENS;NOTA_HUMANAS;NOTA_MATEMATICA;NOTA_NATUREZA;NOTA_REDAC;CIDADE/UF;LAT;LON
1689;SP;São Joaquim da Barra;513.5311507936508;524.4261904761904;557.1152542372882;504.0349576271187;664.2460317460317;São Joaquim da Barra, SP;-20.5814993;-47.8608238
1690;SP;São José do Rio Pardo;529.1067245119306;547.5741865509762;578.668903803132;521.3026845637584;670.2386117136659;São José do Rio Pardo, SP;-21.595288;-46.887303
1691;SP;São José do Rio Preto;540.0053671682012;557.2545699528408;591.9379334582943;535.5311387066541;676.4563215809567;São José do Rio Preto, SP;-20.8125851;-49.3804212
1692;SP;São José dos Campos;547.1000160539412;567.9893883448386;607.3911632551174;537.9343484772841;680.5972066142238;São José dos Campos, SP;-23.1860383;-45.8866816
1693;SP;São João da Boa Vista;541.3293948126801;561.992795389049;602.0451951951951;538.8172672672672;687.2910662824207;São João da Boa Vista, SP;-21.9778137;-46.7881722
1694;SP;São Manuel;525.275138121547;541.7723756906078;561.758073654391;512.313597733711;637.182320441989;São Manuel, SP;-22.732081;-48.572316
1695;SP;São Miguel Arcanjo;519.4305084745763;532.2237288135593;549.5205882352941;500.71588235294115;611.8644067796611;São Miguel Arcanjo, SP;-23.8807771;-47.9963492
1696;SP;São Paulo;535.6803376919831;551.5115773019379;574.962849580829;516.4726697870898;640.9475721410316;São Paulo, SP;-23.5506507;-46.6333824
1697;SP;São Roque;528.3205329153604;545.7399686520375;572.1526655896607;515.9901453957997;640.6896551724138;São Roque, SP;-23.5304843;-47.1355473
1698;SP;São Sebastião;515.8002551020409;526.0823979591836;541.0728997289973;497.0211382113821;605.2551020408164;São Sebastião, SP;-23.8027866;-45.4070527
1699;SP;São Vicente;517.1659506762132;527.803261734288;538.0343803056027;491.93242784380305;592.6968973747016;São Vicente, SP;-23.9603686;-46.3847024
1700;SP;Taboão da Serra;526.3119569253621;541.5428518380987;550.2806288819876;500.25252329192546;635.2172298551801;Taboão da Serra, SP;-23.6121912;-46.7790539
1701;SP;Tapiratiba;514.8114503816794;532.2847328244275;541.584375;504.59609375;619.0839694656488;Tapiratiba, SP;-21.46824;-46.7493221
1702;SP;Taquaritinga;514.8803986710964;521.5870431893688;553.9335616438357;504.27876712328765;640.0664451827242;Taquaritinga, SP;-21.407486;-48.5054848
1703;SP;Tatuí;525.0224259520452;538.7478138222849;559.2417417417417;506.93378378378384;609.3370944992948;Tatuí, SP;-23.3518451;-47.848026
1704;SP;Taubaté;542.8043831902395;562.1231812019882;588.7764985727878;527.3124167459562;659.7107998192499;Taubaté, SP;-23.031448;-45.5612792
1705;SP;Teodoro Sampaio;497.63314917127076;502.9149171270719;524.7532163742691;471.39824561403515;570.7182320441989;Teodoro Sampaio, SP;-22.5300202;-52.1686847
1706;SP;Tietê;522.9508108108108;537.5637837837838;565.5897222222222;512.8841666666666;652.2702702702703;Tietê, SP;-23.1030302;-47.7147937
1707;SP;Tupã;521.0007326007326;534.674358974359;562.5655705996132;504.5816247582205;635.7142857142857;Tupã, SP;-21.9349129;-50.5141255
1708;SP;Ubatuba;526.1228710462287;538.3571776155718;563.1493506493506;504.84753246753246;601.1678832116788;Ubatuba, SP;-23.433162;-45.083415
1709;SP;Valinhos;549.0717871485944;571.7577309236947;613.8658280922432;545.6686582809225;665.9036144578313;Valinhos, SP;-22.97056;-46.99583
